#OTU_num	C0.1	C0.2	C0.3	C0.4	C0.5	C1.1	C1.2	C1.3	C1.4	C1.5	P.1	P.2	P.3	P.4	P.5	Cd10.1	Cd10.2	Cd10.3	Cd10.4	Cd10.5	Cd40.1	Cd40.2	Cd40.3	Cd40.4	Cd40.5	PCd10.1	PCd10.2	PCd10.3	PCd10.4	PCd10.5	PCd40.1	PCd40.2	PCd40.3	PCd40.4	PCd40.5	SC.1	SC.2	SC.3	SC.4	SC.5	SP.1	SP.2	SP.3	SP.4	SP.5	S10.1	S10.2	S10.3	S10.4	S10.5	SP10.1	SP10.2	SP10.3	SP10.4	SP10.5	S40.1	S40.2	S40.3	S40.4	S40.5	SP40.1	SP40.2	SP40.3	SP40.4	SP40.5	FC.1	FC.2	FC.3	FC.4	FC.5	FP.1	FP.2	FP.3	FP.4	FP.5	F10.1	F10.2	F10.3	F10.4	F10.5	FP10.1	FP10.2	FP10.3	FP10.4	FP10.5	F40.1	F40.2	F40.3	F40.4	F40.5	FP40.1	FP40.2	FP40.3	FP40.4	FP40.5	Taxonomy
ASV10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	388.0	2162.0	2337.0	1243.0	1074.0	2122.0	1555.0	1714.0	2233.0	1752.0	378.0	430.0	764.0	784.0	680.0	221.0	192.0	397.0	228.0	266.0	473.0	832.0	1063.0	671.0	1901.0	298.0	410.0	407.0	413.0	427.0	456.0	308.0	295.0	718.0	473.0	2086.0	2232.0	2358.0	2578.0	2238.0	2120.0	1881.0	2280.0	2419.0	1263.0	1490.0	1277.0	1096.0	1521.0	1255.0	2089.0	1037.0	1752.0	1492.0	726.0	2363.0	861.0	1954.0	3257.0	2358.0	1808.0	2155.0	1656.0	1677.0	1811.0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Stachybotrys;s__Stachybotrys_chartarum
ASV11	0.0	0.0	6.0	7.0	0.0	107.0	350.0	399.0	467.0	127.0	118.0	91.0	118.0	73.0	71.0	1893.0	497.0	790.0	3862.0	1070.0	4104.0	1633.0	1407.0	388.0	1332.0	62.0	255.0	266.0	152.0	439.0	159.0	441.0	512.0	214.0	139.0	1094.0	877.0	835.0	1194.0	1128.0	187.0	162.0	461.0	555.0	429.0	1029.0	1617.0	1318.0	929.0	1185.0	689.0	1762.0	1223.0	1003.0	1608.0	1432.0	1552.0	1125.0	1010.0	1604.0	544.0	632.0	343.0	1021.0	3022.0	519.0	507.0	530.0	690.0	640.0	364.0	439.0	468.0	451.0	305.0	1129.0	885.0	968.0	1328.0	1065.0	473.0	296.0	375.0	388.0	187.0	1939.0	836.0	2368.0	2588.0	1494.0	57.0	183.0	66.0	48.0	65.0	k__Fungi
ASV12	8084.0	7110.0	6502.0	6436.0	14759.0	241.0	219.0	216.0	316.0	208.0	325.0	396.0	357.0	372.0	300.0	395.0	244.0	334.0	672.0	330.0	556.0	384.0	421.0	207.0	397.0	260.0	270.0	271.0	119.0	275.0	30.0	308.0	268.0	191.0	90.0	256.0	221.0	465.0	265.0	262.0	101.0	120.0	235.0	171.0	210.0	263.0	108.0	139.0	105.0	145.0	153.0	282.0	283.0	259.0	357.0	131.0	130.0	134.0	77.0	142.0	354.0	360.0	189.0	203.0	128.0	157.0	156.0	232.0	276.0	167.0	449.0	147.0	330.0	456.0	156.0	267.0	235.0	233.0	243.0	332.0	258.0	144.0	179.0	191.0	32.0	407.0	162.0	395.0	1129.0	899.0	210.0	53.0	153.0	232.0	280.0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium
ASV13	58.0	65.0	55.0	54.0	53.0	988.0	587.0	777.0	1016.0	761.0	186.0	184.0	254.0	216.0	156.0	656.0	507.0	379.0	1049.0	453.0	1133.0	899.0	1211.0	637.0	1112.0	365.0	588.0	638.0	600.0	578.0	0.0	40.0	33.0	59.0	0.0	1355.0	1061.0	1516.0	1935.0	1307.0	567.0	110.0	295.0	231.0	298.0	249.0	156.0	235.0	268.0	224.0	463.0	802.0	964.0	614.0	1007.0	672.0	548.0	680.0	629.0	554.0	0.0	0.0	0.0	0.0	0.0	1116.0	953.0	1188.0	1204.0	1232.0	559.0	678.0	471.0	328.0	535.0	756.0	710.0	908.0	786.0	622.0	1128.0	1332.0	1057.0	1433.0	1045.0	1872.0	822.0	1640.0	2155.0	1691.0	332.0	428.0	252.0	217.0	223.0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Parachaetomium;s__Parachaetomium_iranianum
ASV14	0.0	0.0	0.0	0.0	0.0	6.0	2.0	15.0	0.0	0.0	1400.0	993.0	3193.0	538.0	571.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	109.0	2.0	0.0	615.0	1196.0	998.0	2454.0	1756.0	0.0	0.0	0.0	0.0	0.0	39.0	40.0	21.0	3.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	14.0	0.0	0.0	79.0	8159.0	5916.0	7868.0	7910.0	8877.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinellus;s__Coprinellus_flocculosus
ASV15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	675.0	894.0	901.0	761.0	811.0	691.0	576.0	803.0	883.0	829.0	274.0	382.0	1983.0	592.0	488.0	757.0	983.0	718.0	745.0	2318.0	380.0	517.0	784.0	462.0	1177.0	421.0	430.0	444.0	553.0	405.0	218.0	262.0	256.0	1216.0	823.0	640.0	632.0	636.0	787.0	597.0	567.0	386.0	612.0	543.0	390.0	1665.0	1686.0	1719.0	1562.0	1538.0	681.0	1497.0	656.0	798.0	571.0	1606.0	757.0	1723.0	1899.0	1507.0	281.0	210.0	365.0	301.0	300.0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae
ASV16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	8.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	28.0	22.0	28.0	306.0	3.0	10.0	18.0	17.0	17.0	71.0	27.0	161.0	66.0	62.0	54.0	34.0	20.0	11.0	78.0	4.0	4.0	4.0	8.0	5.0	0.0	0.0	12.0	0.0	0.0	67.0	534.0	145.0	195.0	465.0	620.0	910.0	645.0	224.0	1638.0	7886.0	9327.0	6217.0	6923.0	7252.0	154.0	1353.0	232.0	235.0	1374.0	9.0	11.0	4.0	30.0	33.0	710.0	2092.0	669.0	395.0	536.0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Niessliaceae;g__Niesslia;s__Niesslia_indica
ASV17	4910.0	4589.0	4916.0	3947.0	3091.0	291.0	276.0	272.0	284.0	188.0	280.0	289.0	287.0	308.0	233.0	286.0	304.0	286.0	734.0	374.0	194.0	244.0	1021.0	157.0	248.0	138.0	195.0	241.0	250.0	195.0	253.0	424.0	430.0	317.0	291.0	648.0	571.0	731.0	608.0	545.0	215.0	188.0	231.0	495.0	316.0	160.0	192.0	294.0	191.0	199.0	224.0	475.0	466.0	321.0	296.0	231.0	186.0	254.0	205.0	166.0	358.0	593.0	317.0	164.0	108.0	581.0	371.0	389.0	498.0	660.0	379.0	304.0	602.0	674.0	101.0	311.0	423.0	296.0	428.0	683.0	435.0	146.0	209.0	297.0	30.0	302.0	269.0	522.0	303.0	431.0	206.0	101.0	288.0	275.0	216.0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Humicola;s__Humicola_olivacea
ASV18	30.0	0.0	0.0	0.0	0.0	1050.0	683.0	915.0	1332.0	1022.0	363.0	370.0	346.0	299.0	331.0	430.0	370.0	475.0	906.0	456.0	692.0	580.0	777.0	404.0	736.0	26.0	57.0	48.0	44.0	55.0	0.0	0.0	34.0	0.0	0.0	1892.0	1377.0	1575.0	2467.0	1783.0	250.0	205.0	466.0	351.0	462.0	191.0	225.0	168.0	194.0	232.0	48.0	123.0	122.0	50.0	49.0	324.0	288.0	388.0	280.0	315.0	0.0	0.0	0.0	0.0	0.0	1405.0	1258.0	1307.0	1599.0	1441.0	785.0	722.0	734.0	649.0	907.0	676.0	534.0	640.0	649.0	725.0	111.0	162.0	251.0	192.0	174.0	1258.0	514.0	1065.0	1366.0	833.0	41.0	213.0	67.0	37.0	25.0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Parachaetomium;s__Parachaetomium_iranianum
ASV19	6.0	0.0	37.0	0.0	12.0	12.0	64.0	164.0	80.0	38.0	192.0	82.0	378.0	76.0	505.0	101.0	40.0	26.0	157.0	80.0	2595.0	375.0	9113.0	558.0	2184.0	5.0	9.0	10.0	8.0	13.0	0.0	44.0	0.0	0.0	0.0	15.0	11.0	17.0	20.0	79.0	7.0	5.0	34.0	32.0	14.0	55.0	60.0	56.0	62.0	49.0	20.0	63.0	116.0	42.0	153.0	18.0	10.0	11.0	8.0	6.0	0.0	0.0	4.0	6.0	8.0	150.0	69.0	165.0	362.0	53.0	602.0	540.0	364.0	341.0	1716.0	537.0	999.0	2048.0	774.0	1121.0	2447.0	2635.0	2463.0	2715.0	5312.0	700.0	271.0	396.0	744.0	991.0	0.0	46.0	4.0	0.0	0.0	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Peziza;s__Peziza_sp
